path_index,final_price,max_price,min_price,return_pct
57,119.8419421861074,125.59111054111995,97.19589647778945,20.29540045195879
58,101.67822253922864,108.37532178333775,93.43390415277253,1.242696620181749
59,124.55454396831952,124.55454396831952,99.8519763693598,23.01840313696546
60,111.48394732692651,115.66632653089087,95.63876048164934,12.145663213185486
61,118.7037650698708,123.10354828001972,99.77824268330764,18.9675843927539
62,89.9189579214617,103.06690234108669,85.30765683600764,-8.829784435143873
63,85.76203733747658,99.00748407024868,81.24495859107775,-12.946036840991725
64,116.90693276173594,119.2472851110296,101.04097187884531,15.702502250191097
65,95.00475368227436,102.27812828387559,92.04529089639988,-6.615921661599755
66,121.56626148859398,124.47743447382678,95.29235268612187,21.662117135320756
67,103.83145562603612,115.21088449513122,101.28441603673721,2.5147398671628407
68,101.05179654737951,101.05179654737951,87.00538291472445,0.5804584920459765
69,118.36863793905802,125.10564777143243,96.39799770774766,19.320422723020016
70,110.5428621965705,119.74812817169554,99.36049593411265,10.027588034013156
71,103.20853207295282,103.87060412235061,87.1786781335537,1.2158168669711422
72,75.68081367714606,103.25078114194096,74.8702178592831,-24.294032043251168
73,85.40492364620866,106.09997871525859,82.37607046357955,-16.27211733131301
74,99.98833134294384,108.61355030851021,89.12839708645335,3.3312793042729494
75,102.32969710530777,105.64758287896275,93.23318184906339,1.2634846922927379
76,94.3162778823892,102.60385374593366,89.6823901421161,-5.798316290101213
77,100.13524285195618,109.83744636694183,95.77632886436866,0.501212459739131
78,100.9327454270407,107.25592684032938,97.75638844408675,0.8041256071321667
79,95.51217607963362,112.18766185922325,94.02827316776552,-2.07756315491443
80,104.76573486212875,117.80071501133682,99.49621062324164,5.0435807730305315
81,105.03368122668199,110.69684307986587,92.9291333157788,4.54972851723745
82,93.40906541250551,103.36316060103941,90.24590769908296,-8.325006944693424
83,110.24031818369603,111.64182869875881,97.80507491677828,10.949288540153002
84,99.05524763796953,104.1429747677467,88.08458921952764,0.05747448749713335
85,98.11074498243035,105.72271853131404,96.33401897572601,-1.2788323072030372
86,95.11358803765484,105.55072970907182,92.72575623506708,-5.988246596062618
87,98.05377976144348,104.64975118832649,90.64388775254271,-2.3631309308623116
88,93.26515020544294,104.97715842467807,90.08309702373838,-6.12146013954078
89,111.16406032192604,116.30938903483079,92.49132416410562,10.434382559561794
90,99.00542766870446,100.910922217655,88.78471440363502,-1.127359356569202
91,103.2205363779611,107.58468595397953,94.48199805598534,1.9563725576063895
92,107.34474310895382,114.50397883287954,96.46558825677911,8.285530943670526
93,92.9093644394249,103.84277368662211,90.20399179916633,-6.717404277856687
94,92.17461792727211,106.31093549065575,90.06391460392943,-7.379930651468447
95,109.40796598123669,112.80613985433183,96.77513675689285,11.430737562924143
96,121.22835803026825,126.36677688007853,96.71436353482105,20.762548804481117
97,102.00927550007283,103.24624800213917,93.0150878104994,1.662216060481314
98,99.68184987840928,114.56417203743335,94.91503957649243,-0.3364371843291858
99,110.47500312861482,112.38181984522012,98.24834857656302,10.788807270033974
